antecedent,consequent,support_count,support,confidence,lift
llm_calls:>5,elapsed:1-5m | harness:opencode,15,0.23809523809523808,0.7142857142857143,3.0000000000000004
harness:opencode,elapsed:1-5m | llm_calls:>5,15,0.23809523809523808,0.7142857142857143,3.0000000000000004
harness:codex,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,harness:codex,21,0.3333333333333333,1.0,3.0
llm_calls:>5,harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode,llm_calls:>5,21,0.3333333333333333,1.0,3.0
archived_files:3-5 | harness:codex,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
archived_files:3-5 | llm_calls:1-2,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,archived_files:3-5 | llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,archived_files:3-5 | harness:codex,21,0.3333333333333333,1.0,3.0
archived_files:3-5 | llm_calls:>5,harness:opencode,21,0.3333333333333333,1.0,3.0
archived_files:3-5 | harness:opencode,llm_calls:>5,21,0.3333333333333333,1.0,3.0
llm_calls:>5,archived_files:3-5 | harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode,archived_files:3-5 | llm_calls:>5,21,0.3333333333333333,1.0,3.0
cache_tokens:available | harness:codex,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
cache_tokens:available | llm_calls:1-2,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,cache_tokens:available | llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,cache_tokens:available | harness:codex,21,0.3333333333333333,1.0,3.0
deliverables:present | harness:codex,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
deliverables:present | llm_calls:1-2,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,deliverables:present | llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,deliverables:present | harness:codex,21,0.3333333333333333,1.0,3.0
deliverables:present | llm_calls:>5,harness:opencode,21,0.3333333333333333,1.0,3.0
deliverables:present | harness:opencode,llm_calls:>5,21,0.3333333333333333,1.0,3.0
llm_calls:>5,deliverables:present | harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode,deliverables:present | llm_calls:>5,21,0.3333333333333333,1.0,3.0
harness:codex | status:success,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2 | status:success,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,llm_calls:1-2 | status:success,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,harness:codex | status:success,21,0.3333333333333333,1.0,3.0
harness:codex | timeout:false,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2 | timeout:false,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,llm_calls:1-2 | timeout:false,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,harness:codex | timeout:false,21,0.3333333333333333,1.0,3.0
harness:codex | token_total:>=10k,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2 | token_total:>=10k,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,llm_calls:1-2 | token_total:>=10k,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,harness:codex | token_total:>=10k,21,0.3333333333333333,1.0,3.0
harness:codex | tokens:available,llm_calls:1-2,21,0.3333333333333333,1.0,3.0
llm_calls:1-2 | tokens:available,harness:codex,21,0.3333333333333333,1.0,3.0
harness:codex,llm_calls:1-2 | tokens:available,21,0.3333333333333333,1.0,3.0
llm_calls:1-2,harness:codex | tokens:available,21,0.3333333333333333,1.0,3.0
llm_calls:>5 | status:success,harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode | status:success,llm_calls:>5,21,0.3333333333333333,1.0,3.0
llm_calls:>5,harness:opencode | status:success,21,0.3333333333333333,1.0,3.0
harness:opencode,llm_calls:>5 | status:success,21,0.3333333333333333,1.0,3.0
llm_calls:>5 | timeout:false,harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode | timeout:false,llm_calls:>5,21,0.3333333333333333,1.0,3.0
llm_calls:>5,harness:opencode | timeout:false,21,0.3333333333333333,1.0,3.0
harness:opencode,llm_calls:>5 | timeout:false,21,0.3333333333333333,1.0,3.0
llm_calls:>5 | token_total:>=10k,harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode | token_total:>=10k,llm_calls:>5,21,0.3333333333333333,1.0,3.0
llm_calls:>5,harness:opencode | token_total:>=10k,21,0.3333333333333333,1.0,3.0
harness:opencode,llm_calls:>5 | token_total:>=10k,21,0.3333333333333333,1.0,3.0
llm_calls:>5 | tokens:available,harness:opencode,21,0.3333333333333333,1.0,3.0
harness:opencode | tokens:available,llm_calls:>5,21,0.3333333333333333,1.0,3.0
llm_calls:>5,harness:opencode | tokens:available,21,0.3333333333333333,1.0,3.0
harness:opencode,llm_calls:>5 | tokens:available,21,0.3333333333333333,1.0,3.0
elapsed:1-5m | llm_calls:>5,harness:opencode,15,0.23809523809523808,1.0,3.0
elapsed:1-5m | harness:opencode,llm_calls:>5,15,0.23809523809523808,1.0,3.0
elapsed:1-5m | harness:codex,llm_calls:1-2,14,0.2222222222222222,1.0,3.0
elapsed:1-5m | llm_calls:1-2,harness:codex,14,0.2222222222222222,1.0,3.0
harness:bdi,cache_tokens:available | elapsed:1-5m,21,0.3333333333333333,1.0,1.7999999999999998
harness:bdi,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,cache_tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2,cache_tokens:available,21,0.3333333333333333,1.0,1.5
archived_files:3-5 | harness:bdi,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi,archived_files:3-5 | cache_tokens:available,21,0.3333333333333333,1.0,1.5
archived_files:3-5 | harness:codex,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,archived_files:3-5 | cache_tokens:available,21,0.3333333333333333,1.0,1.5
archived_files:3-5 | llm_calls:1-2,cache_tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2,archived_files:3-5 | cache_tokens:available,21,0.3333333333333333,1.0,1.5
deliverables:present | harness:bdi,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi,cache_tokens:available | deliverables:present,21,0.3333333333333333,1.0,1.5
deliverables:present | harness:codex,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,cache_tokens:available | deliverables:present,21,0.3333333333333333,1.0,1.5
deliverables:present | llm_calls:1-2,cache_tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2,cache_tokens:available | deliverables:present,21,0.3333333333333333,1.0,1.5
elapsed:1-5m | harness:bdi,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi | status:success,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi,cache_tokens:available | status:success,21,0.3333333333333333,1.0,1.5
harness:bdi | timeout:false,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi,cache_tokens:available | timeout:false,21,0.3333333333333333,1.0,1.5
harness:bdi | token_total:>=10k,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi,cache_tokens:available | token_total:>=10k,21,0.3333333333333333,1.0,1.5
harness:bdi | tokens:available,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:bdi,cache_tokens:available | tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex | llm_calls:1-2,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex | status:success,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,cache_tokens:available | status:success,21,0.3333333333333333,1.0,1.5
harness:codex | timeout:false,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,cache_tokens:available | timeout:false,21,0.3333333333333333,1.0,1.5
harness:codex | token_total:>=10k,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,cache_tokens:available | token_total:>=10k,21,0.3333333333333333,1.0,1.5
harness:codex | tokens:available,cache_tokens:available,21,0.3333333333333333,1.0,1.5
harness:codex,cache_tokens:available | tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2 | status:success,cache_tokens:available,21,0.3333333333333333,1.0,1.5
